request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_38,170.7,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Wait until 15 October 2025, then pay EUR 971.30 in full. Paying sooner would put the EUR 400 minimum at risk."
request_39,50841.31,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait until 15 June 2026, then pay INR 208,600 in full. Paying sooner would put the INR 213,400 minimum at risk."
request_40,332.46,affordable_with_plan,wait,2024-08-15:1290.30,,reduce_to:projected_dining_2024-06-12:0|reduce_to:projected_dining_2024-06-26:0,"Reduce the quick-service meal to EUR 0; Reduce the quick-service meal to EUR 0, then pay EUR 1,290.30 on 15 August 2024. This leaves at least EUR 1,500 available."
request_41,9015006.51,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait until 15 January 2026, then pay IDR 38,760,000 in full. Paying sooner would put the IDR 25,366,600 minimum at risk."
request_42,24821.06,affordable_with_plan,wait,2026-03-15:52100,,reduce_to:projected_dining_2026-01-06:0,"Reduce the family dinner budget to INR 0 and pay INR 52,100 on 15 March 2026. This plan maintains a remaining balance of at least INR 113,100."
request_43,8443757.75,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Please wait until 15 November 2024 to pay the full amount of IDR 43,339,000. Making an earlier payment would jeopardize the IDR 21,398,000 minimum."
request_44,23403.31,affordable_with_plan,wait,2025-04-15:95800,,reduce_to:projected_dining_2025-02-10:0|reduce_to:projected_dining_2025-02-24:0,"Reduce the neighbourhood restaurant budget to INR 0 and pay INR 95,800 on 15 April 2025. This plan leaves at least INR 82,900 available."
request_45,3614476.62,affordable_with_plan,wait,2026-09-15:21983000,,reduce_to:projected_dining_2026-07-13:0|reduce_to:projected_dining_2026-07-27:0|stop:projected_streaming_2026-07-09,"Reduce the coffee shop to IDR 0; Reduce the coffee shop to IDR 0; Stop the video streaming plan, then pay IDR 21,983,000 on 15 September 2026. This leaves at least IDR 11,149,800 available."
request_46,36858.4,affordable_with_plan,partial_payment,2024-12-03:36858.40|2024-12-15:12591.60,2024-12-15,none,"Pay INR 36,858.40 now, then the remaining INR 12,591.60 on 15 December 2024. This leaves at least INR 84,000 available."
request_47,24403613.86,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 June 2025. None of the available options keeps the IDR 30,049,000 minimum protected."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,11974188.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 May 2024. None of the available options keeps the IDR 20,275,700 minimum protected."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Please pay INR 43,900 today. This payment leaves at least INR 99,700 available for your needs over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Please pay IDR 2,191,000 today. This ensures you maintain at least IDR 7,811,000 in available funds over the next 90 days."
request_52,18701.97,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"To protect the INR 41,500 minimum, do not pay until 15 June 2024. On that date, please pay the full INR 28,870."
request_53,477.89,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,2064.79,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,115116.42,not_affordable,not_recommended,none,2026-07-15,none,"Do not make this payment by 22 August 2026. None of the available options keeps the INR 124,300 minimum protected."
request_56,623.64,affordable_with_plan,partial_payment,2025-02-03:623.64|2025-02-15:257.92,2025-02-15,none,"Pay USD 623.64 now, then the remaining USD 257.92 on 15 February 2025. This leaves at least USD 2,100 available."
request_57,12657.18,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 15 June 2026, then pay ZAR 61,446 in full. Paying sooner would put the ZAR 42,700 minimum at risk."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Please pay in 3 installments of INR 48,741.33, starting 7 May 2025. This plan ensures you retain a balance of at least INR 132,600."
request_60,0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2026. None of the available options preserve the USD 400 minimum balance.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"We recommend paying in 3 installments of ZAR 10,074.83, beginning on 17 March 2024. This plan ensures you maintain a minimum balance of ZAR 36,700."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,39906.07,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 September 2026. None of the available options keeps the INR 153,500 minimum protected."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,5782.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,292.95,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"To avoid jeopardizing the USD 1,200 minimum payment, wait until 15 November 2024. On that date, pay the full USD 2,094 balance."
request_68,1455.49,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,"To maintain a balance of at least USD 1,500, please pay in three installments of USD 725.09. These payments will begin on 14 February 2025."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Please pay EUR 529.10 today. This ensures you maintain at least EUR 700 in available funds over the next 90 days.
request_70,49475.42,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait until 15 February 2025, then pay INR 243,900 in full. Paying sooner would put the INR 115,000 minimum at risk."
request_71,77785.41,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,67812.41,affordable_later,wait,2023-02-15:71400,2023-02-15,none,"Wait until 15 February 2023, then pay INR 71,400 in full. Paying sooner would put the INR 103,200 minimum at risk."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options preserve the USD 1,800 minimum protection."
request_77,57385.3,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Pay the full amount of INR 60,700 on 15 November 2025. Paying before this date risks triggering the INR 82,200 minimum payment requirement."
request_78,49520.43,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,reduce_to:projected_shopping_2025-10-13:0,"To reach your goal, reduce monthly shopping spend to INR 0 and pay INR 50,200 today. This leaves you with at least INR 55,200 available."
request_79,217.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 November 2024. None of the available options keeps the EUR 1,000 minimum protected."
request_80,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the USD 1,100 minimum protected."
request_83,11383.78,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,34638.22,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Wait until 15 June 2026 to pay the full INR 95,400. Paying before this date would put the INR 91,300 minimum at risk."
request_85,374061.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options preserve the IDR 6,396,300 minimum balance."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Please pay INR 46,300 today. This payment ensures you retain at least INR 84,900 in available funds over the next 90 days."
request_87,18037.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9226703.57,not_affordable,not_recommended,none,2026-01-15,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 12,534,700 minimum protected."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,455.1,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 1,927.20 in full. Paying sooner would put the EUR 2,100 minimum at risk."
request_92,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 February 2025. None of the available options will maintain the required ZAR 28,100 minimum balance."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Please pay USD 1,729.20 today. This ensures you maintain at least USD 1,900 in available funds over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Please pay EUR 572 today. This ensures you maintain at least EUR 600 in available funds over the next 90 days.
request_95,13298.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,74311.34,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,2643.34,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Wait until 15 October 2025, then pay ZAR 27,148 in full. Paying sooner would put the ZAR 30,000 minimum at risk."
request_99,16890.9,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:projected_dining_2026-07-08:0,"Reduce the family dinner to ZAR 0, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,27631.84,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Please pay in three installments of ZAR 12,866.19, beginning 13 June 2024. This plan ensures you retain a balance of at least ZAR 32,500."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Please pay INR 143,500 today. This leaves a balance of at least INR 187,400 available for the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Please pay in three installments of EUR 594.88, beginning on 5 April 2026. This plan ensures you retain at least EUR 900 in available funds."
request_103,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 24,700 minimum protected."
request_105,48239.42,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:projected_shopping_2026-06-12:0|reduce_to:projected_entertainment_2026-06-14:0,"Reduce the household shopping to INR 0; Reduce the monthly entertainment spend to INR 0, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,440.12,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Wait until 15 February 2025, then pay EUR 2,207.70 in full. Paying sooner would put the EUR 1,200 minimum at risk."
request_107,575.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 July 2026. None of the available options preserve the ZAR 24,100 minimum balance."
request_109,460.56,not_affordable,not_recommended,none,2024-05-15,none,"Do not make this payment by 26 May 2024. None of the available options will keep the EUR 1,700 minimum protected."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"To ensure at least ZAR 11,200 remains available, please pay in three installments of ZAR 7,748.69. The first payment is due on 6 August 2025."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,218.08,affordable_later,wait,2024-08-15:271.70,2024-08-15,none,"Wait until 15 August 2024, then pay EUR 271.70 in full. Paying sooner would put the EUR 500 minimum at risk."
request_113,22360.44,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Wait until 15 September 2026, then pay INR 36,500 in full. Paying sooner would put the INR 82,300 minimum at risk."
request_114,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 January 2026. None of the available options keeps the INR 113,400 minimum protected."
request_115,14552.2,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait until 15 November 2024, then pay INR 80,500 in full. Paying sooner would put the INR 38,800 minimum at risk."
request_116,7550.39,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,848.69,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:projected_dining_2026-07-12:0,"Reduce the weekend food delivery budget to EUR 0 and make an EUR 880 payment today. This strategy ensures a remaining balance of at least EUR 1,000."
request_118,0,not_affordable,not_recommended,none,,none,Do not make this payment by 8 February 2025. None of the available options preserve the EUR 600 minimum balance.
request_119,53156.13,not_affordable,not_recommended,none,2025-07-15,none,"Do not make this payment by 17 July 2025. None of the available options preserve the INR 151,200 minimum balance."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,5490.44,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-15,reduce_to:projected_dining_2025-11-06:0|reduce_to:projected_dining_2025-11-13:0,"Reduce the family dinner budget to ZAR 0 and make a payment of ZAR 6,468 today. This action will leave at least ZAR 11,300 available in your account."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Please pay INR 159,600 today. This leaves a balance of at least INR 129,700 available for the next 90 days."
request_127,7933.25,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Please pay the full ZAR 23,980 on 15 October 2024. Paying before this date would jeopardize the ZAR 41,000 minimum balance requirement."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,110.47,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,338.17,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Wait until 15 February 2025, then pay USD 1,978.80 in full. Paying sooner would put the USD 1,400 minimum at risk."
request_131,1170.4,not_affordable,not_recommended,none,2025-07-15,none,"Do not make this payment by 8 July 2025. None of the available options keeps the USD 1,100 minimum protected."
request_132,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 February 2026. None of the available options keeps the USD 1,100 minimum protected."
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,"Do not make this payment by 29 March 2024. None of the available options preserve the IDR 9,986,200 minimum balance requirement."
request_134,4469014.82,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"To protect the IDR 15,902,500 minimum, do not pay until 15 October 2025. On that date, please pay the full amount of IDR 21,831,000. Paying before this date puts the minimum at risk."
request_135,273.59,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,reduce_to:projected_dining_2026-07-10:0,Reduce the lunch expense to USD 0 and pay USD 304.80 today. This action ensures at least USD 500 remains available.
request_136,496.37,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:projected_shopping_2024-06-11:0,"Reduce the household shopping to USD 0, then pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,24928.9,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Wait until 15 January 2026, then pay INR 80,100 in full. Paying sooner would put the INR 71,800 minimum at risk."
request_138,861.61,affordable_with_plan,partial_payment,2026-04-07:861.61|2026-04-15:395.33,2026-04-15,none,"Pay EUR 861.61 now, then the remaining EUR 395.33 on 15 April 2026. This leaves at least EUR 2,300 available."
request_139,1368.31,not_affordable,not_recommended,none,2024-10-15,none,"Do not make this payment by 17 November 2024. None of the available options keeps the USD 1,500 minimum protected."
request_140,1622.98,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,20454.41,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 February 2026. None of the available options will keep the INR 67,300 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Please pay USD 1,263.60 today. This payment maintains at least USD 1,700 in available funds over the next 90 days."
request_143,2449.92,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Wait until 15 July 2025 to pay the full ZAR 12,584. Paying before this date would put your ZAR 11,300 minimum at risk."
request_144,224.01,affordable_later,wait,2026-07-15:233.34,2026-07-15,none,"Wait until 15 July 2026, then pay USD 233.34 in full. Paying sooner would put the USD 600 minimum at risk."
request_145,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 May 2024. None of the available options keeps the INR 155,400 minimum protected."
request_146,14054.86,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options keeps the INR 108,600 minimum protected."
request_147,462.16,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,7665.48,not_affordable,not_recommended,none,2024-07-15,none,"Do not make this payment by 18 August 2024. None of the available options keeps the ZAR 20,000 minimum protected."
request_149,24545.82,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Please settle this using three installments of ZAR 12,706.03, starting on 18 November 2025. This payment plan ensures you retain at least ZAR 42,100 in available funds."
request_150,0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 March 2026. None of the available options will maintain the EUR 700 minimum balance.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Please pay IDR 26,999,000 today. This payment ensures you maintain at least IDR 31,633,600 in available funds over the next 90 days."
request_152,11035.96,not_affordable,not_recommended,none,2025-04-15,none,"Do not make this payment by 13 April 2025. None of the available options keeps the ZAR 11,900 minimum protected."
request_153,12.42,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,7828.52,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 15 June 2026, then pay ZAR 43,076 in full. Paying sooner would put the ZAR 26,900 minimum at risk."
request_157,4352610.76,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Please wait until 15 May 2024 to pay the full amount of IDR 23,503,000. Paying before this date would jeopardize the IDR 15,714,100 minimum payment requirement."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"To maintain a balance of at least INR 131,400, please pay in three installments of INR 84,101.33. The payment schedule will begin on 7 August 2025."
request_159,4675.74,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options will keep the ZAR 8,700 minimum protected."
request_160,574.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,1159061.72,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,25217619.44,not_affordable,not_recommended,none,2025-04-24,none,"Do not make this payment by 15 April 2025. None of the available options keeps the IDR 29,550,500 minimum protected."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Please pay INR 80,600 today. This ensures you maintain at least INR 95,000 in liquidity over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Please pay in 3 installments of USD 1,007.97, starting 3 December 2024. This plan ensures at least USD 1,700 remains available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Please pay ZAR 43,802 today. This ensures you maintain a balance of at least ZAR 31,200 for the next 90 days."
request_168,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 March 2026. None of the available options keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,30183194.4,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,30.56,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,9598.68,affordable_with_plan,partial_payment,2024-06-05:9598.68|2024-06-15:601.32,2024-06-15,none,"Pay ZAR 9,598.68 now, then the remaining ZAR 601.32 on 15 June 2024. This leaves at least ZAR 27,200 available."
request_173,52640.85,not_affordable,not_recommended,none,2026-01-15,none,"Do not make this payment by 17 January 2026. None of the available options will keep the INR 79,100 minimum protected."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Please pay in 3 installments of EUR 397.35, beginning on 4 April 2026. This plan ensures you retain a balance of at least EUR 700."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Please pay EUR 2,346.30 today. This ensures at least EUR 1,700 remains available for the next 90 days."
request_176,0,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,76.01,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 January 2026. None of the available options keeps the USD 1,300 minimum protected."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,5664043.33,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 15 July 2025, then pay IDR 41,648,000 in full. Paying sooner would put the IDR 41,430,800 minimum at risk."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,460.86,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 April 2024. None of the available options preserve the USD 2,000 minimum balance."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today to ensure at least ZAR 31,100 remains available over the next 90 days."
request_183,23107211.77,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,"To maintain a balance of at least IDR 11,878,300, we recommend paying in 3 installments of IDR 9,313,546.67 starting 10 April 2026."
request_184,9316.1,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the INR 110,800 minimum protected."
